#node1	node2	node1_string_internal_id	node2_string_internal_id	node1_external_id	node2_external_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
COL1A2	COL1A1	4437383	4433346	9606.ENSP00000297268	9606.ENSP00000225964	0	0	0.443	0.958	0.991	0.454	0.900	0.948	0.999
PSMB3	PSMD4	4451799	4443212	9606.ENSP00000483688	9606.ENSP00000357879	0	0	0	0	0.725	0.990	0.900	0.467	0.999
PSMB8	PSMC5	4444469	4438605	9606.ENSP00000364016	9606.ENSP00000310572	0	0	0	0	0.583	0.963	0.900	0.527	0.999
PSMD7	PSMA4	4433080	4432626	9606.ENSP00000219313	9606.ENSP00000044462	0	0	0	0	0.915	0.992	0.900	0.589	0.999
CCT2	CCT8	4437556	4436697	9606.ENSP00000299300	9606.ENSP00000286788	0	0	0.243	0.706	0.993	0.959	0.900	0.883	0.999
SMARCB1	SMARCC1	4435202	4434360	9606.ENSP00000263121	9606.ENSP00000254480	0	0	0	0	0.128	0.993	0.900	0.932	0.999
GNB2L1	EEF1A1	4449378	4440919	9606.ENSP00000426909	9606.ENSP00000339063	0	0	0	0	0.969	0.973	0	0.708	0.999
TP53	EP300	4435880	4435224	9606.ENSP00000269305	9606.ENSP00000263253	0	0	0	0	0	0.957	0.900	0.845	0.999
EIF4A1	PDCD4	4437038	4436360	9606.ENSP00000293831	9606.ENSP00000280154	0	0	0	0	0.078	0.939	0.900	0.869	0.999
EEF1A1	EEF1G	4440919	4440309	9606.ENSP00000339063	9606.ENSP00000331901	0	0	0	0	0.928	0.881	0.900	0.904	0.999
CCNC	MED12	4449479	4444316	9606.ENSP00000428982	9606.ENSP00000363193	0	0	0	0	0.081	0.994	0.900	0.930	0.999
PSMC5	PSMA4	4438605	4432626	9606.ENSP00000310572	9606.ENSP00000044462	0	0	0.204	0	0.902	0.992	0.900	0.590	0.999
PTBP1	HNRNPA2B1	4441922	4441649	9606.ENSP00000349428	9606.ENSP00000346694	0	0	0	0	0.949	0.818	0.900	0.704	0.999
PSMB3	PSMA4	4451799	4432626	9606.ENSP00000483688	9606.ENSP00000044462	0	0	0	0	0.957	0.993	0.900	0.725	0.999
EEA1	RAB5A	4439162	4436053	9606.ENSP00000317955	9606.ENSP00000273047	0	0	0	0	0.080	0.974	0.900	0.952	0.999
PTBP1	HNRNPA1	4441922	4441190	9606.ENSP00000349428	9606.ENSP00000341826	0	0	0	0	0.949	0.771	0.900	0.761	0.999
PSMD4	PSMA4	4443212	4432626	9606.ENSP00000357879	9606.ENSP00000044462	0	0	0	0	0.924	0.991	0.900	0.677	0.999
COPZ1	COPB1	4450281	4434113	9606.ENSP00000449270	9606.ENSP00000249923	0	0	0	0	0.362	0.977	0.900	0.895	0.999
WDR43	HEATR1	4447102	4442698	9606.ENSP00000384302	9606.ENSP00000355541	0	0	0	0	0.911	0.788	0.900	0.917	0.999
PSMB3	PSMD7	4451799	4433080	9606.ENSP00000483688	9606.ENSP00000219313	0	0	0	0	0.697	0.992	0.900	0.537	0.999
LDB1	LMO2	4447751	4434571	9606.ENSP00000392466	9606.ENSP00000257818	0	0	0	0	0	0.974	0.900	0.932	0.999
PSMB8	PSMA4	4444469	4432626	9606.ENSP00000364016	9606.ENSP00000044462	0	0	0	0	0.663	0.992	0.900	0.551	0.999
WDR43	UTP3	4447102	4434386	9606.ENSP00000384302	9606.ENSP00000254803	0	0	0	0	0.862	0.651	0.900	0.713	0.998
POLR2H	GTF2F2	4448791	4441082	9606.ENSP00000415536	9606.ENSP00000340823	0	0	0	0	0.105	0.963	0.900	0.540	0.998
POT1	TINF2	4442024	4435762	9606.ENSP00000350249	9606.ENSP00000267415	0	0	0	0	0	0.898	0.900	0.836	0.998
TCF7L2	CTNNB1	4443308	4441426	9606.ENSP00000358404	9606.ENSP00000344456	0	0	0	0	0	0.827	0.900	0.926	0.998
NCL	NPM1	4439187	4437352	9606.ENSP00000318195	9606.ENSP00000296930	0	0	0	0	0.750	0.633	0.900	0.860	0.998
MYL12B	MYH9	4450713	4432924	9606.ENSP00000463559	9606.ENSP00000216181	0	0	0	0	0.933	0.316	0.900	0.747	0.998
CDC42	ITSN1	4446990	4445530	9606.ENSP00000383118	9606.ENSP00000370719	0	0	0	0	0	0.963	0.900	0.631	0.998
HNRNPF	HNRNPA1	4448121	4441190	9606.ENSP00000400433	9606.ENSP00000341826	0	0	0	0	0.913	0.614	0.900	0.699	0.998
SRSF3	HNRNPA2B1	4444253	4441649	9606.ENSP00000362820	9606.ENSP00000346694	0	0	0	0	0.949	0.391	0.900	0.606	0.998
SUN2	SYNE1	4447251	4442844	9606.ENSP00000385616	9606.ENSP00000356224	0	0	0	0	0	0.901	0.900	0.862	0.998
B2M	HLA-F	4450405	4434738	9606.ENSP00000452780	9606.ENSP00000259951	0	0	0	0.734	0.156	0.984	0.900	0.415	0.998
EMC6	EMC2	4446644	4433136	9606.ENSP00000380322	9606.ENSP00000220853	0	0	0	0	0.246	0.876	0.900	0.869	0.998
MSL3	MSL2	4438763	4438730	9606.ENSP00000312244	9606.ENSP00000311827	0	0	0	0	0.061	0.892	0.900	0.865	0.998
EIF4G3	EIF4A1	4447007	4437038	9606.ENSP00000383274	9606.ENSP00000293831	0	0	0	0	0.087	0.924	0.900	0.823	0.998
SRSF3	PTBP1	4444253	4441922	9606.ENSP00000362820	9606.ENSP00000349428	0	0	0	0	0.938	0	0.900	0.804	0.998
HGS	TSG101	4440236	4434200	9606.ENSP00000331201	9606.ENSP00000251968	0	0	0	0	0.078	0.825	0.900	0.932	0.998
SRSF3	HNRNPA1	4444253	4441190	9606.ENSP00000362820	9606.ENSP00000341826	0	0	0	0	0.946	0.260	0.900	0.703	0.998
WDR43	UTP6	4447102	4434930	9606.ENSP00000384302	9606.ENSP00000261708	0	0	0	0	0.891	0.651	0.900	0.758	0.998
OGT	HCFC1	4444254	4438516	9606.ENSP00000362824	9606.ENSP00000309555	0	0	0	0	0.169	0.939	0.900	0.797	0.998
PSMB8	PSMD1	4444469	4438504	9606.ENSP00000364016	9606.ENSP00000309474	0	0	0	0	0.230	0.956	0.900	0.506	0.998
EIF3M	GNB2L1	4449770	4449378	9606.ENSP00000436049	9606.ENSP00000426909	0	0	0	0	0.964	0.960	0	0.125	0.998
SUPT5H	POLR2H	4450951	4448791	9606.ENSP00000470252	9606.ENSP00000415536	0	0	0	0	0.059	0.963	0.900	0.286	0.997
JAK1	STAT3	4441317	4435468	9606.ENSP00000343204	9606.ENSP00000264657	0	0	0	0	0.096	0.437	0.900	0.948	0.997
SNX2	SNX6	4445228	4442632	9606.ENSP00000368831	9606.ENSP00000355217	0	0	0	0.587	0.084	0.958	0.900	0.874	0.997
SNRNP70	HNRNPA2B1	4451051	4441649	9606.ENSP00000472998	9606.ENSP00000346694	0	0	0	0	0.926	0.535	0.900	0.436	0.997
EEF1D	EEF1A1	4448537	4440919	9606.ENSP00000410059	9606.ENSP00000339063	0	0	0	0	0.197	0.812	0.900	0.828	0.997
STT3A	DAD1	4446067	4434135	9606.ENSP00000376472	9606.ENSP00000250498	0	0	0	0	0.552	0.735	0.900	0.820	0.997
POMP	PSMA4	4445462	4432626	9606.ENSP00000370222	9606.ENSP00000044462	0	0	0	0	0.862	0.911	0	0.834	0.997
IFT57	IFT172	4435447	4434789	9606.ENSP00000264538	9606.ENSP00000260570	0	0	0	0	0.224	0.741	0.900	0.885	0.997
PTEN	TP53	4443848	4435880	9606.ENSP00000361021	9606.ENSP00000269305	0	0	0	0	0	0.472	0.900	0.963	0.997
TRAPPC12	TRAPPC8	4439680	4436541	9606.ENSP00000324318	9606.ENSP00000283351	0	0	0	0	0.049	0.823	0.900	0.891	0.997
HEATR1	UTP3	4442698	4434386	9606.ENSP00000355541	9606.ENSP00000254803	0	0	0	0	0.758	0.798	0.900	0.592	0.997
CDKN2A	TP53	4448997	4435880	9606.ENSP00000418915	9606.ENSP00000269305	0	0	0	0	0	0.384	0.900	0.968	0.997
TAPBP	PDIA3	4448337	4437661	9606.ENSP00000404833	9606.ENSP00000300289	0	0	0	0	0.043	0.817	0.900	0.897	0.997
STAT1	JAK1	4442456	4441317	9606.ENSP00000354394	9606.ENSP00000343204	0	0	0	0	0.082	0.393	0.900	0.956	0.997
IFT20	IFT57	4450745	4435447	9606.ENSP00000464443	9606.ENSP00000264538	0	0	0	0	0.189	0.752	0.900	0.894	0.997
ESR1	NCOA1	4448358	4447214	9606.ENSP00000405330	9606.ENSP00000385216	0	0	0	0	0	0.921	0.900	0.659	0.997
ACTG1	CFL1	4450595	4449639	9606.ENSP00000458162	9606.ENSP00000432660	0	0	0	0	0.279	0.943	0.800	0.732	0.997
TRAF3IP1	IFT57	4444161	4435447	9606.ENSP00000362424	9606.ENSP00000264538	0	0	0	0	0.336	0.741	0.900	0.842	0.996
PCGF5	RNF2	4450168	4442902	9606.ENSP00000445704	9606.ENSP00000356480	0	0	0	0	0.061	0.902	0.900	0.632	0.996
CHMP1B	VTA1	4449621	4442930	9606.ENSP00000432279	9606.ENSP00000356602	0	0	0	0	0.106	0.926	0.800	0.798	0.996
SF3B1	LSM8	4440663	4434090	9606.ENSP00000335321	9606.ENSP00000249299	0	0	0	0	0.142	0.960	0.900	0.206	0.996
CEP152	CEP63	4445475	4440709	9606.ENSP00000370337	9606.ENSP00000336524	0	0	0	0	0.061	0.399	0.900	0.948	0.996
SUPT5H	GTF2F2	4450951	4441082	9606.ENSP00000470252	9606.ENSP00000340823	0	0	0	0	0.117	0.902	0.900	0.609	0.996
SEC13	WDR59	4445779	4435017	9606.ENSP00000373312	9606.ENSP00000262144	0	0	0	0	0.084	0.710	0.900	0.873	0.996
DYNLT1	DYNC1H1	4442803	4441877	9606.ENSP00000356056	9606.ENSP00000348965	0	0	0	0	0.075	0.885	0.900	0.687	0.996
SSR2	TRAM1	4437178	4435033	9606.ENSP00000295702	9606.ENSP00000262213	0	0	0	0	0.842	0	0.900	0.802	0.996
RRAGC	MTOR	4444074	4442490	9606.ENSP00000362092	9606.ENSP00000354558	0	0	0	0	0.072	0.899	0.900	0.714	0.996
SSR2	SEC61B	4437178	4433288	9606.ENSP00000295702	9606.ENSP00000223641	0	0	0	0	0.881	0.313	0.900	0.586	0.996
MX1	STAT1	4446835	4442456	9606.ENSP00000381601	9606.ENSP00000354394	0	0	0	0	0.792	0	0.900	0.858	0.996
SLIT2	ROBO2	4449223	4448890	9606.ENSP00000422591	9606.ENSP00000417335	0	0	0	0	0.088	0.760	0.900	0.856	0.996
NCOA3	EP300	4443859	4435224	9606.ENSP00000361066	9606.ENSP00000263253	0	0	0	0	0.064	0.856	0.900	0.698	0.995
PHC1	RNF2	4449958	4442902	9606.ENSP00000440674	9606.ENSP00000356480	0	0	0	0	0	0.843	0.900	0.732	0.995
CDC42	PREX1	4446990	4443845	9606.ENSP00000383118	9606.ENSP00000361009	0	0	0	0	0	0.909	0.900	0.576	0.995
PATL1	XRN1	4437643	4435521	9606.ENSP00000300146	9606.ENSP00000264951	0	0	0	0	0.065	0.692	0.900	0.858	0.995
SEC31A	PDCD6	4446393	4435518	9606.ENSP00000378721	9606.ENSP00000264933	0	0	0	0	0	0.734	0.900	0.855	0.995
CITED2	EP300	4450108	4435224	9606.ENSP00000444198	9606.ENSP00000263253	0	0	0	0	0	0.897	0.900	0.622	0.995
SNRNP70	HNRNPA1	4451051	4441190	9606.ENSP00000472998	9606.ENSP00000341826	0	0	0	0.571	0.932	0.282	0.900	0.478	0.995
MATR3	SFPQ	4442450	4441968	9606.ENSP00000354346	9606.ENSP00000349748	0	0	0	0	0.902	0	0.900	0.557	0.995
HNRNPF	PTBP1	4448121	4441922	9606.ENSP00000400433	9606.ENSP00000349428	0	0	0	0	0.906	0	0.900	0.583	0.995
EIF4B	PABPC1	4447567	4438834	9606.ENSP00000388806	9606.ENSP00000313007	0	0	0	0	0.586	0.457	0.900	0.840	0.995
SAMM50	CHCHD3	4441522	4435106	9606.ENSP00000345445	9606.ENSP00000262570	0	0	0	0	0.106	0.787	0.900	0.804	0.995
RHOA	PKN1	4448110	4441326	9606.ENSP00000400175	9606.ENSP00000343325	0	0	0	0	0.061	0.811	0.900	0.778	0.995
MTOR	ULK1	4442490	4439696	9606.ENSP00000354558	9606.ENSP00000324560	0	0	0	0	0.064	0.737	0.900	0.835	0.995
NCOA1	EP300	4447214	4435224	9606.ENSP00000385216	9606.ENSP00000263253	0	0	0	0	0.062	0.862	0.900	0.671	0.995
POMP	PSMB4	4445462	4436872	9606.ENSP00000370222	9606.ENSP00000290541	0	0	0	0	0.833	0.865	0	0.805	0.995
ESR1	NCOA2	4448358	4448095	9606.ENSP00000405330	9606.ENSP00000399968	0	0	0	0	0.062	0.900	0.900	0.583	0.995
B2M	CD1C	4450405	4443055	9606.ENSP00000452780	9606.ENSP00000357152	0	0	0	0	0.121	0.909	0.900	0.354	0.994
PABPC1	EIF4A1	4438834	4437038	9606.ENSP00000313007	9606.ENSP00000293831	0	0	0	0	0.433	0.472	0.900	0.842	0.994
MX1	IFIT3	4446835	4443820	9606.ENSP00000381601	9606.ENSP00000360883	0	0	0	0	0.837	0	0.900	0.713	0.994
EIF4A1	EIF4H	4437038	4435645	9606.ENSP00000293831	9606.ENSP00000265753	0	0	0	0	0.321	0.527	0.900	0.846	0.994
SRSF2	SRSF3	4446026	4444253	9606.ENSP00000376276	9606.ENSP00000362820	0	0	0	0.824	0.567	0.873	0.900	0.841	0.994
EMC6	EMC4	4446644	4435777	9606.ENSP00000380322	9606.ENSP00000267750	0	0	0	0	0.441	0.157	0.900	0.891	0.994
DDX46	SF3B1	4448833	4440663	9606.ENSP00000416534	9606.ENSP00000335321	0	0	0	0	0.386	0.732	0.900	0.730	0.994
VEGFA	STAT3	4451310	4435468	9606.ENSP00000478570	9606.ENSP00000264657	0	0	0	0	0	0.434	0.900	0.916	0.994
PDIA6	P4HB	4447225	4439955	9606.ENSP00000385385	9606.ENSP00000327801	0	0	0	0.603	0.616	0.820	0.900	0.816	0.994
KRIT1	RAP1B	4446279	4434137	9606.ENSP00000378015	9606.ENSP00000250559	0	0	0	0	0.061	0.909	0.800	0.738	0.994
HNRNPA2B1	PCBP1	4441649	4438137	9606.ENSP00000346694	9606.ENSP00000305556	0	0	0	0	0.850	0.164	0.900	0.578	0.994
EP300	KMT2C	4435224	4435027	9606.ENSP00000263253	9606.ENSP00000262189	0	0	0	0	0.845	0.280	0.900	0.528	0.994
MED21	MED4	4436513	4434645	9606.ENSP00000282892	9606.ENSP00000258648	0	0	0	0	0.063	0.857	0.900	0.630	0.994
TRIP4	MED4	4434972	4434645	9606.ENSP00000261884	9606.ENSP00000258648	0	0	0	0	0.061	0.993	0	0.279	0.994
B2M	TAPBP	4450405	4448337	9606.ENSP00000452780	9606.ENSP00000404833	0	0	0	0	0.159	0.720	0.900	0.784	0.994
JAK1	IL10RA	4441317	4433397	9606.ENSP00000343204	9606.ENSP00000227752	0	0	0	0	0	0.870	0.900	0.589	0.994
RAB11A	RAB11FIP5	4434975	4434599	9606.ENSP00000261890	9606.ENSP00000258098	0	0	0	0	0	0.522	0.800	0.947	0.994
PUF60	SRRM2	4449703	4437792	9606.ENSP00000434359	9606.ENSP00000301740	0	0	0	0	0.133	0.929	0.900	0.247	0.994
SRRM2	SLU7	4437792	4437371	9606.ENSP00000301740	9606.ENSP00000297151	0	0	0	0	0.082	0.900	0.900	0.448	0.994
HNRNPA1	PCBP1	4441190	4438137	9606.ENSP00000341826	9606.ENSP00000305556	0	0	0	0	0.856	0.164	0.900	0.551	0.993
SHMT2	ATIC	4440475	4433672	9606.ENSP00000333667	9606.ENSP00000236959	0.122	0	0	0	0.774	0	0.900	0.700	0.993
HDAC1	NCOR1	4444211	4435844	9606.ENSP00000362649	9606.ENSP00000268712	0	0	0	0	0.105	0.718	0.900	0.786	0.993
B2M	CALR	4450405	4439395	9606.ENSP00000452780	9606.ENSP00000320866	0	0	0	0	0	0.899	0.900	0.441	0.993
EIF3M	EIF4A1	4449770	4437038	9606.ENSP00000436049	9606.ENSP00000293831	0	0	0	0	0.515	0.813	0.900	0.404	0.993
POLR2A	TRIP4	4451459	4434972	9606.ENSP00000480158	9606.ENSP00000261884	0	0	0	0	0.064	0.993	0	0	0.993
IL4R	STAT6	4446450	4437641	9606.ENSP00000379111	9606.ENSP00000300134	0	0	0	0	0.116	0.472	0.900	0.878	0.993
CCNC	MED21	4449479	4436513	9606.ENSP00000428982	9606.ENSP00000282892	0	0	0	0	0.064	0.766	0.900	0.747	0.993
RHOA	DAAM1	4448110	4446374	9606.ENSP00000400175	9606.ENSP00000378557	0	0	0	0	0.061	0.645	0.900	0.832	0.993
SNRNP70	PTBP1	4451051	4441922	9606.ENSP00000472998	9606.ENSP00000349428	0	0	0	0	0.904	0.050	0.900	0.358	0.993
MED12	TRIP4	4444316	4434972	9606.ENSP00000363193	9606.ENSP00000261884	0	0	0	0	0	0.993	0	0.093	0.993
EEF1D	EEF1B2	4448537	4445998	9606.ENSP00000410059	9606.ENSP00000376056	0	0	0	0.940	0.597	0.838	0.900	0.949	0.993
TDP2	EXOSC3	4445022	4439572	9606.ENSP00000367440	9606.ENSP00000323046	0	0	0	0	0.083	0.993	0	0	0.993
CDKN2A	MDM2	4448997	4434604	9606.ENSP00000418915	9606.ENSP00000258149	0	0	0	0	0	0.379	0.900	0.897	0.993
PTBP1	PCBP1	4441922	4438137	9606.ENSP00000349428	9606.ENSP00000305556	0	0	0	0	0.802	0.363	0.900	0.533	0.993
PDCD6IP	TSG101	4448625	4434200	9606.ENSP00000411825	9606.ENSP00000251968	0	0	0	0	0.178	0.548	0.900	0.830	0.992
